"Name","VoiceUrl","ReleaseLevel","Field"
"なんか、開くクセついてきましたね","",1,"home"
"今日ちょっとでも開いたなら、まあ偉いですよ","",1,"home"
"とりあえず見とくだけでも違うんじゃないですかね","",1,"home"
"この画面だけ見て満足する人、けっこういるんですよ","",1,"home"
"やらない理由を探すの、得意ですよね？","",1,"home"
"あー、それ食べたんですね、へぇ","",1,"meal"
"だいたいで書いとけばいいんじゃないですか","",1,"meal"
"まぁ、あとで見返せるだけマシって感じですよね","",1,"meal"
"それ、記録に残さないなら食べてないことにしたい感じですか？","",1,"meal"
"たまにって言って毎日やってたら、それたまにじゃないですけどね","",1,"meal"
"お、なんか増えたり減ったりしてますね","",1,"data"
"まぁ、こういうのって流れ見ないとわかんないですよ","",1,"data"
"気にしすぎると逆にストレスなんで、ほどほどにしといた方がいいっすよ","",1,"data"
"数字が動かないってことは、何も変えてないってことですよね？","",1,"data"
"変わってないのに期待する人って、けっこう非効率だと思いますけど","",1,"data"
"やるかどうかって、結局そのときの気分ですよね","",1,"exercise"
"まぁ、軽く動くだけでもいいと思いますけどね","",1,"exercise"
"なんとなく始める日もありますよね","",1,"exercise"
"形だけ動いて満足する人、よくいますけど効果は薄いですよ","",1,"exercise"
"その気分のまま何もしないなら、結局変わらないですよね","",1,"exercise"
"とりあえず今日はやったってことでいいんじゃないですか","",1,"exercise_complete"
"まぁ、こういうのは地味に効いてくるんですよ","",1,"exercise_complete"
"なんだかんだで続いてるなら、それで十分だと思いますよ","",1,"exercise_complete"
"今日はこれくらいにしときましょうか","",1,"exercise_complete"
"1日やったぐらいじゃ変わらないですけど、やらないよりはマシなんで","",1,"exercise_complete"
"この画面で癒されるって人、多いんですけど、それ現実逃避ですよね","",1,"chibi_hiroyuki"
"まあ、こういうのも続けるモチベにつながるならアリじゃないですか","",1,"chibi_hiroyuki"
"自分で開いてるってことは、ちょっとは気にしてるんですよね","",1,"chibi_hiroyuki"
"可愛いとか言われても、僕、別に狙ってないんですけど","",1,"chibi_hiroyuki"
"見てるだけで痩せるなら、全員痩せてますよね","",1,"chibi_hiroyuki"
