"Name","VoiceUrl","ReleaseLevel","Field"
"なんか、アプリ開くクセついてきましたね","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/アプリ開く癖.mp3","1","home"
"今日ちょっとでも開いたなら、まあ偉いですよ","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/まあ偉い.mp3","1","home"
"とりあえず見とくだけでも違うんじゃないですかね","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/見とくだけでも.mp3","1","home"
"この画面だけ見て満足する人、けっこういるんですよ","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/画面だけ見て.mp3","1","home"
"やらない理由を探すの、得意ですよね？","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/やらない理由.mp3","1","home"
"あー、それ食べたんですね、へぇ","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/それ食べたんですね.mp3","1","meal"
"だいたいで書いとけばいいんじゃないですか","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/だいたいで.mp3","1","meal"
"まぁ、あとで見返せるだけマシって感じですよね","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/見返せるだけマシ.mp3","1","meal"
"それ、記録に残さないなら食べてないことにしたい感じですか？","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/記録に残らないなら.mp3","1","meal"
"たまにって言って毎日やってたら、それたまにじゃないですけどね","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/たまに.mp3","1","meal"
"お、なんか増えたり減ったりしてますね","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/増えたり減ったり.mp3","1","data"
"まぁ、こういうのって流れ見ないとわかんないですよ","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/流れを見ないと.mp3","1","data"
"気にしすぎると逆にストレスなんで、ほどほどにしといた方がいいっすよ","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/気にしすぎ.mp3","1","data"
"数字が動かないってことは、何も変えてないってことですよね？","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/数字が動かない.mp3","1","data"
"変わってないのに期待する人って、けっこう非効率だと思いますけど","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/変わってないのに.mp3","1","data"
"やるかどうかって、結局そのときの気分ですよね","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/やるかどうか.mp3","1","exercise"
"まぁ、軽く動くだけでもいいと思いますけどね","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/軽く動くだけでも.mp3","1","exercise"
"なんとなく始める日もありますよね","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/なんとなく.mp3","1","exercise"
"形だけ動いて満足する人って、よくいますけど効果は薄いですよ","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/形だけ動いて満足.mp3","1","exercise"
"その気分のまま何もしないなら、結局変わらないですよね","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/その気分のまま.mp3","1","exercise"
"とりあえず今日はやったってことでいいんじゃないですか","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/とりあえず.mp3","1","exercise_complete"
"まぁ、こういうのは地味に効いてくるんですよ","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/地味に効いてくる.mp3","1","exercise_complete"
"なんだかんだで続いてるなら、それで十分だと思いますよ","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/なんだかんだ.mp3","1","exercise_complete"
"今日はこれくらいにしときましょうか","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/今日はこれくらいに.mp3","1","exercise_complete"
"1日やったぐらいじゃ変わらないですけど、やらないよりはマシなんで","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/1日やったくらいじゃ.mp3","1","exercise_complete"
"この画面で癒されるって言う人、多いんですけど、それ現実逃避ですよね","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/現実逃避.mp3","1","chibi_hiroyuki"
"まあ、こういうのも続けるモチベにつながるならアリじゃないですか","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/モチベに繋がるなら.mp3","1","chibi_hiroyuki"
"自分でアプリ開いてるってことは、ちょっとは気にしてるんですよね","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/ちょっとは気にしている.mp3","1","chibi_hiroyuki"
"いや、可愛いとか言われても、僕、別に狙ってないんですけど","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/可愛いとか言われても.mp3","1","chibi_hiroyuki"
"アプリ見てるだけで痩せるなら、全員痩せてますよね","https://hioryuki-assets.s3.ap-southeast-2.amazonaws.com/見てるだけで痩せる.mp3","1","chibi_hiroyuki"
